chr1	68515433	68517545	DIRAS3	17	0.5	88	M
chr2	207114583	207136544	ZDBF2	8	0.45	439	P
chr4	89618184	89619237	NAP1L5	15	0.57	57	M
chr6	3849082	3850359	FAM50B	25	0.65	90	M
chr6	144328078	144329888	PLAGL1	16	0.58	143	M
chr6	160426558	160427561	IGF2R	2	0.7	74	M
chr7	50848726	50851312	GRB10	9	0.6	171	M
chr7	94285537	94287960	PEG10	53	0.6	119	M
chr7	130130122	130134388	MEST	55	0.54	226	M
chr8	141108147	141111081	TRAPPC9	8	0.62	193	M
chr10	121578046	121578727	INPP5F	4	0.59	52	M
chr11	2018812	2024740	H19	48	0.6	250	P
chr11	2153991	2155112	IGF2-DMR2	9	0.65	63	P
chr11	2168333	2169768	IGF2-DMR0	1	0.62	33	P
chr11	2719948	2722259	KvDMR1	30	0.67	192	M
chr13	48892341	48895763	RB1	12	0.59	195	M
chr14	101275427	101278058	IG-DMR	0	0.52	64	P
chr14	101290524	101293978	MEG3	33	0.6	188	P
chr15	23807086	23812495	MKRN3/MIR4508	12	0.44	109	M
chr15	23892425	23894029	MAGEL2	6	0.55	51	M
chr15	23931451	23932759	NDN	8	0.65	108	M
chr15	25068564	25069481	SNRPN-DMR0	8	0.42	19	M
chr15	25093008	25093829	SNRPN-DMR1	4	0.49	44	M
chr15	25123027	25123905	SNRPN-DMR2	5	0.47	45	M
chr15	25200004	25201976	SNURF	7	0.6	113	M
chr15	99408496	99409650	IGF1R	7	0.51	55	M
chr16	3492828	3494463	ZNF597/NAA60	11	0.54	76	P
chr19	54040510	54042212	ZNF331	11	0.64	125	M
chr19	57348493	57353271	PEG3	36	0.59	221	M
chr20	30134663	30135933	MCTS2P/HM13	9	0.48	47	M
chr20	36148604	36150528	BLCAP/NNAT	35	0.55	135	M
chr20	42142365	42144040	L3MBTL	25	0.65	84	M
chr20	57414039	57418612	GNAS	23	0.57	257	P
chr20	57425649	57428033	NESP-AS/GNAS-AS1	62	0.61	128	M
chr20	57428905	57431463	GNAS-XL	6	0.65	200	M
chr20	57463265	57465201	GNAS-Ex1A	38	0.67	198	M
